"","Author","Book","District","State","Notes","BanDate"
"2702","Morrison, Toni","Beloved","Santa Rosa County District Schools","Florida","",""
"2703","Asher, Jay","Thirteen Reasons Why","Santa Rosa County District Schools","Florida","handwritten note says deleted from collection?",""
"2704","Alexie, Sherman","The Absolutely True Diary of a Part-time Indian","Santa Rosa County District Schools","Florida","",""
"2705","Thomas, Angie","The Hate U Give","Santa Rosa County District Schools","Florida","",""
"2706","Hosseini, Khaled","The Kite Runner","Santa Rosa County District Schools","Florida","handwritten says copy lost and deleted from collection",""
"2707","Lockhart, E","Fly on the Wall: How One Girl Saw Everything","Santa Rosa County District Schools","Florida","",""
"2708","Mathieu, Jennifer","The Truth about Alice","Santa Rosa County District Schools","Florida","handwritten note says ""not on shelf",""
"2709","Picoult, Jodi","Nineteen Minutes","Santa Rosa County District Schools","Florida","",""
"2710","Kobabe, Maia","Gender Queer: A Memoir","Connetquot School District ","New York","",""
"2711","Alexie, Sherman","The Absolutely True Diary of a Part-time Indian","Ottumwa Community School District","Iowa","pulled DURING use?",""
"2712","Stone, Nic","Monday's Not Coming","Savannah-Chatham County Public School SYstem","Georgia","",""
"2713","Johnson, George M","All Boys Aren't blue","Savannah-Chatham County Public School SYstem","Georgia","",""
"2714","Kuklin, Susan","Beyond Magenta","Savannah-Chatham County Public School SYstem","Georgia","",""
"2715","Alexie, Sherman","The Absolutely True Diary of a Part-time Indian","Savannah-Chatham County Public School SYstem","Georgia","",""
"2716","Rivera, Gabby","Juliet Takes a Breath","Savannah-Chatham County Public School SYstem","Georgia","",""
"2717","McNeil, Gretchen","#Murder Trending","Savannah-Chatham County Public School SYstem","Georgia","",""
"2718","Kobabe, Maia","Gender Queer: A Memoir","Savannah-Chatham County Public School SYstem","Georgia","",""
"2719","Jackson, Tiffany","Allegedly","Savannah-Chatham County Public School SYstem","Georgia","",""
"2720","Hopkins, Ellen","Tricks","Savannah-Chatham County Public School SYstem","Georgia","",""
"2721","Stone, Nic","Dear Martin","Hall County School District","Georgia","No accessible policies",""
"2722","Mbue, Imbolo","How Beautiful We Were: A Novel","Rapid City Area Schools","South Dakota","185 copies",""
"2723","Bechdel, Alison","FUN HOME: A Family Tragicomic","Rapid City Area Schools","South Dakota","35 copies",""
"2724","Chbosky, Stephen","The Perks of Being a Wallflower","Rapid City Area Schools","South Dakota","75 copies",""
"2725","Evaristo, Bernardine","Girl, Woman, Other: A Novel","Rapid City Area Schools","South Dakota","30 copies",""
"2726","Eggers, Dave","The Circle","Rapid City Area Schools","South Dakota","30 copies",""
"2727","Bechdel, Alison","FUN HOME: A Family Tragicomic","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2728","Johnson, George M","All Boys Aren't blue","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2729","Brown, Echo","Black Girl Unlimited: The Remarkable Story of A Teenage Wizard","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2730","Gyasi, Yaa","Homegoing","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2731","Perez, Ashley Hope","Out of Darkness","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2732","Thompson, Craig","Blankets","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2733","Kuklin, Susan","Beyond Magenta: Transgender Teens SPeak Out","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2734","Myracle, Lauren","The Infinite Moment of Us","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2735","Bacigalupi, Paolo","Wind Up Girl","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2736","Walls, Jeannette","The Glass Castle","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2737","Green, John","Looking for Alaska","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2738","Hopkins, Ellen","Crank","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2739","Chbosky, Stephen","The perks of Being a Wallflower","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2740","Atwood, Margaret","The Handmaid's Tale","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2741","Morrison, Toni","The Bluest Eye","Nixa Public Schools","Missouri","in all cases, the complaintant requested the book be REMOVED",""
"2742","Maas, Sarah J","A Court of Frost and Starlight","Eanes","Texas","High School",""
"2743","Maas, Sarah","A Court of Mist and Fury","Eanes","Texas","High School",""
"2744","Maas, Sarah","A Court of of Wings and Ruin","Eanes","Texas","High School",""
"2745","Maas, Sarah J","A Court of Silver FLames","Eanes","Texas","High School",""
"2746","Maas, Sarah J","A Court of Silver FLames","Eanes","Texas","High School",""
"2747","Maas, Sarah","A Court of Thorns and Roses","Eanes","Texas","High School",""
"2748","","A Good Kind of Trouble","Eanes","Texas","Elementary",""
"2749","","A Good Kind of Trouble","Eanes","Texas","Middle School",""
"2750","Horner, Emily","A love story starring my
 dead best friend","Eanes","Texas","Middle School",""
"2751","Horner, Emily","A love story starring my
 dead best friend","Eanes","Texas","High School",""
"2752","Reynolds, Jason","All American Boys","Eanes","Texas","High School",""
"2753","Jackson, Tiffany","Allegedly","Eanes","Texas","High School",""
"2754","Saenz, Benjamin Alire","Aristotle and Dante Discover the Secrets of the Universe","Eanes","Texas","High School",""
"2755","Saenz, Benjamin Alire","Aristotle and Dante Discover the Secrets of the Universe","Eanes","Texas","High School",""
"2756","Lauren, Christina","Autoboyography","Eanes","Texas","High School",""
"2757","Jennings, Jazz.","Being Jazz : my life as a
 (transgender) teen","Eanes","Texas","Middle School",""
"2758","Jennings, Jazz.","Being Jazz : my life as a
 (transgender) teen","Eanes","Texas","High School",""
"2759","Morrison, Toni","Beloved","Eanes","Texas","High School",""
"2760","Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out","Eanes","Texas","middle School",""
"2761","Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out","Eanes","Texas","High School",""
"2762","Brown, Echo","Black Girl Unlimited","Eanes","Texas","High School",""
"2763","Thompson, Craig","Blankets","Eanes","Texas","High School",""
"2764","Draper, Sharon","Blended","Eanes","Texas","Elementary",""
"2765","Draper, Sharon","Blended","Eanes","Texas","middle School",""
"2766","Hutchinson, Shaun David","Brave Face","Eanes","Texas","High School",""
"2767","Hutchinson, Shaun David","Brave Face","Eanes","Texas","Middle School",""
"2768","Bagieu, Penelope","Brazen","Eanes","Texas","High School",""
"2769","Bagieu, Penelope","Brazen","Eanes","Texas","Middle School",""
"2770","Niven, Jennifer","Breathless","Eanes","Texas","High School",""
"2771","Coster, Katie De and Karen Swisher","Child Abuse - Opposing Viewpoints","Eanes","Texas","Elementary School",""
"2772","Coster, Katie De and Karen Swisher","Child Abuse - Opposing Viewpoints","Eanes","Texas","Middle School",""
"2773","Hopkins, Ellen","Crank","Eanes","Texas","High School",""
"2774","Hopkins, Ellen","Crank","Eanes","Texas","Middle School",""
"2775","Garcia, Cristina","Dreaming in Cuban(A Novel)","Eanes","Texas","High School",""
"2776","Garcia, Cristina","Dreaming in Cuban(A Novel)","Eanes","Texas","High School",""
"2777","","Eleanor & Park","Eanes","Texas","High School",""
"2778","","Eleanor & Park","Eanes","Texas","Middle School",""
"2779","maas, Sarah J","Empire of Storms","Eanes","Texas","High School",""
"2780","Yoon, Nicola","Everything, Everything","Eanes","Texas","Middle School",""
"2781","Foer, Jonathan Safran","Extremely Loud and Incredibly Close","Eanes","Texas","High School",""
"2782","McMann, Lisa","Fade (Wake Series)","Eanes","Texas","Middle School",""
"2783","McMann, Lisa","Fade (Wake Series)","Eanes","Texas","High School",""
"2784","Hopkins, Ellen","Fallout","Eanes","Texas","High School",""
"2785","Lockhart, E","Fly on the Wall","Eanes","Texas","Middle School",""
"2786","Rhodes, Jewell Parker","Ghost Boys","Eanes","Texas","Middle School",""
"2787","Rhodes, Jewell Parker","Ghost Boys","Eanes","Texas","Elementary School",""
"2788","Cashore, Kristin","Graceling","Eanes","Texas","Middle School",""
"2789","Cashore, Kristin","Graceling","Eanes","Texas","High School",""
"2790","Gyasi, Yaa","Homegoing","Eanes","Texas","High School",""
"2791","Maas, Sarah J","House of Earth and Blood","Eanes","Texas","High School",""
"2792","Kendi, Ibram X","How to be an Anti-Racist","Eanes","Texas","High School",""
"2793","Kendi, Ibram X","How to be an Anti-Racist","Eanes","Texas","Middle School",""
"2794","","How to be an Antiracist","Eanes","Texas","Middle School",""
"2795","Jennings, Jazz","I am Jazz","Eanes","Texas","Elementary School",""
"2796","Sanchez, Erika","I Am Not Your Perfect Mexican Daughter","Eanes","Texas","High School",""
"2797","Nelson, Jandy","I'll give you the sun","Eanes","Texas","High School",""
"2798","Hopkins, Ellen","Identical","Eanes","Texas","High School",""
"2799","Hopkins, Ellen","Impulse","Eanes","Texas","Middle School",""
"2800","Hopkins, Ellen","Impulse","Eanes","Texas","High School",""
"2801","McCoy, Mary","Indestructible Object","Eanes","Texas","Middle School",""
"2802","McCoy, Mary","Indestructible Object","Eanes","Texas","Middle School",""
"2803","Myracle, Lauren","l8r, g8r","Eanes","Texas","High School",""
"2804","Albertalli, Becky","Leah on the Offbeat","Eanes","Texas","Middle School",""
"2805","Albertalli, Becky","Leah on the Offbeat","Eanes","Texas","High School",""
"2806","Nabokov, Vladimir","Lolita","Eanes","Texas","High School",""
"2807","Green, John","Looking for Alaska","Eanes","Texas","High School",""
"2808","Andrews, Jesse","Me and Earl and the Dying Girl","Eanes","Texas","High School",""
"2809","Andrews, Jesse","Me and Earl and the Dying Girl","Eanes","Texas","High School",""
"2810","","Me, Earl, and the Dying Girl","Eanes","Texas","Middle School",""
"2811","Gino, Alex","Melissa (George)","Eanes","Texas","Elementary School",""
"2812","Jackson, Tiffany","Monday's Not Coming","Eanes","Texas","Middle School",""
"2813","Silvera, Adam","More Happy Than Not","Eanes","Texas","High School",""
"2814","Picoult, Jodi","My sister's Keeper","Eanes","Texas","High School",""
"2815","Norton, Preston","Neanderthal Opens the Door to the University","Eanes","Texas","High School",""
"2816","","Not My Idea A book About Whiteness","Eanes","Texas","Elementary",""
"2817","Cook, Trish and Brendan Halpin","Notes from the Blender","Eanes","Texas","Middle School",""
"2818","Stone, Nic","Odd One Out","Eanes","Texas","High School",""
"2819","Nielsen, Susin","Optimists Die First","Eanes","Texas","High School",""
"2820","Nielsen, Susin","Optimists Die First","Eanes","Texas","Middle School",""
"2821","Perez, Ashley Hope","OUT OF DARKNESS","Eanes","Texas","High School",""
"2822","Sapphire","Push","Eanes","Texas","High School",""
"2823","Radziszewicz,
 Tina","Ready or not? : a girl's
 guide to making her own
 decisions about dating,
 love, and sex","Eanes","Texas","Middle School",""
"2824","Radziszewicz,
 Tina","Ready or Not? A Girl's Guide to Making Her Own Decisions About Dating, Love and Sex","Eanes","Texas","Middle School",""
"2825","Woodson,
 Jacqueline","Red at the bone","Eanes","Texas","Middle School",""
"2826","Woodson,
 Jacqueline","Red at the bone","Eanes","Texas","High School",""
"2827","Arnold, Elana K","Red Hood","Eanes","Texas","middle School",""
"2828","Arnold, Elana K","Red Hood","Eanes","Texas","High School",""
"2829","Myracle, Lauren","Shine","Eanes","Texas","High School",""
"2830","Anderson, Laurie Halse","Speak","Eanes","Texas","High School",""
"2831","Cherry-Paul, Sonja","Stamped for Kids: Racism, AntiRacism and you","Eanes","Texas","Elementary School",""
"2832","Cherry-Paul, Sonja","Stamped for Kids: Racism, AntiRacism and you","Eanes","Texas","Middle School",""
"2833","Kendi, Ibram X and Jason Reynolds","Stamped: Racism, Antiracism and You","Eanes","Texas","High School",""
"2834","Kendi, Ibram X and Jason Reynolds","Stamped: Racism, Antiracism and You","Eanes","Texas","Middle School",""
"2835","Alexie, Sherman","The Absolutely True Diary of a Part-time Indian","Eanes","Texas","High School",""
"2836","Alexie, Sherman","The Absolutely True Diary of a Part-time Indian","Eanes","Texas","High School",""
"2837","Schneider, Robyn","The Beginning of Everything","Eanes","Texas","Middle School",""
"2838","Joseph, Frederick","The Black Friend: On Being a Better White Person","Eanes","Texas","High School",""
"2839","Joseph, Frederick","The Black Friend: On Being a Better White Person","Eanes","Texas","Middle School",""
"2840","Morrison, Toni","The Bluest Eye","Eanes","Texas","High School",""
"2841","Johnson, Cathy","The Breakaways","Eanes","Texas","Elementary School",""
"2842","Johnson, Cathy","The Breakaways","Eanes","Texas","Middle School",""
"2843","Foley, Jessie Ann","The Carnival at the Bray","Eanes","Texas","High School",""
"2844","Ibraham, Marawa","The Girl Guide","Eanes","Texas","Elementary School",""
"2845","Walls, Jeannette","The Glass Castle","Eanes","Texas","High School",""
"2846","Walls, Jeannette","The Glass Castle","Eanes","Texas","Middle School",""
"2847","Atwood, Margaret","The Handmaid's Tale","Eanes","Texas","High School",""
"2848","Thomas, Angie","The Hate U Give","Eanes","Texas","Middle School",""
"2849","Thomas, Angie","The Hate U Give","Eanes","Texas","High School",""
"2850","Andrews, Jesse","The Haters","Eanes","Texas","High School",""
"2851","","The Holy Bible","Eanes","Texas","Elementary School",""
"2852","","The Holy Bible","Eanes","Texas","Middle School",""
"2853","","The Holy Bible","Eanes","Texas","High School",""
"2854","Myracle, Lauren","The Infinite Moment of Us","Eanes","Texas","High School",""
"2855","Lo, Malinda","The Last night at the telegraph club","Eanes","Texas","High School",""
"2856","Rutkoski, Marie","The Midnight Lie","Eanes","Texas","Middle School",""
"2857","Reed, Amy","The Nowhere Girls","Eanes","Texas","High School",""
"2858","Chbosky, Stephen","The Perks of Being a Wallflower","Eanes","Texas","High School",""
"2859","Acevedo, Elizabeth","The Poet X","Eanes","Texas","High School",""
"2860","Kibuishi, Kazu","The Stonekeeper: A Graphic Novel","Eanes","Texas","Elementary School",""
"2861","Mean, Richelle","The Vampire Academy","Eanes","Texas","High School",""
"2862","Mean, Richelle","The Vampire Academy","Eanes","Texas","High School",""
"2863","Asher, Jay","Thirteen Reasons Why","Eanes","Texas","High School",""
"2864","Tamaki, Mariko and Jillian Tamaki","This One Summer","Eanes","Texas","High School",""
"2865","Maas, Sarah J","Throne of Glass","Eanes","Texas","High School",""
"2866","Maas, Sarah J","Throne of Glass","Eanes","Texas","Middle School",""
"2867","Maas, Sarah J","Tower of Dawn","Eanes","Texas","middle School",""
"2868","Maas, Sarah J","Tower of Dawn","Eanes","Texas","High School",""
"2869","Gruen, Sara","Water For Elephants","Eanes","Texas","Middle School",""
"2870","Hutchinson, Shaun David","We Are The Ants","Eanes","Texas","Middle School",""
"2871","Hutchinson, Shaun David","We Are The Ants","Eanes","Texas","High School",""
"2872","","We Rise, We Resiste, We Raise Our Voices","Eanes","Texas","Middle School",""
"2873","Rooney, Anne","Zombies on the Loose","Eanes","Texas","Elementary",""
"2874","Konigsberg, Bill","The Music of What Happens","Eanes","Texas","Middle School",""
"2875","Norton, Preston","Neanderthal Opens the Door to the Universe","Chippewa Falls Area Unifed School District","Wisconsin","",""
"2876","","Maiden & Princess","Bossier Parish Schools","Louisana","unclear if these are the two books that the complaint was about ... but",""
"2877","","Prince & Knight","Bossier Parish Schools","Louisana","unclear if these are the two books that the complaint was about ... but",""
"2878","Medina, Meg","BURN BABY BURN","Richardson ISD","Texas","",""
"2879","King, AS","EVERBODY SEES THE ANTS","Richardson ISD","Texas","",""
"2880","Kobabe, Maia","Gender Queer","Arlington Central School District","New York","",""
"2881","Alverez, Julia","In the Time of Butterflies","Millford Schools","Ohio","",""
"2882","Hosseini, Khaled","The Kite Runner","Nampa School District","Idaho","committee said was okay to say",""
"2883","Albertalli, Becky","Leah on the Off Beat","Nampa School District","Idaho","committee said was okay to say",""
"2884","Wang, Jen","The Prince and the Dressmaker","Nampa School District","Idaho","committee said was okay to say",""
"2885","Asher, Jay","Thirteen Reasons Why","Nampa School District","Idaho","committee said was okay to say",""
"2886","Slater, Dashka","The 57 Bus","Nampa School District","Idaho","committee said was okay to say",""
"2887","Telgemeier, Raina","Drama","Nampa School District","Idaho","committee said was okay to say",""
"2888","Green, John","Looking for Alaska","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2889","Morrison, Toni","The Bluest Eye","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2890","Maas, Sarah J","A Court of Mist and Fury","Nampa School District","Idaho","Committee said this wasn't on shelves - it had already been pulled by librarians.",""
"2891","Atwood, Margaret","The Handmaid's Tale","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2892","Myracle, Lauren","l8r, g8r","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2893","Perez, Ashley Hope","Out of Darkness","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2894","Chbosky, Stephen","Peks of Being a Wallflower","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2895","Hopkins, Ellen","Crank","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2896","Alexie, Sherman","The Absolutely True Diary of a Part-time Indian","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2897","Clare, Cassandra","City of Heavenly Fire","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2898","Clare, Cassandra","Clockwork Princess","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2899","Rowell, Rainbow","Eleanor & Park","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2900","Foer, JOnathan Safran","Extremely Loud and INcredibly Close","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2901","McCormick, Patricia","Sold","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2902","Anderson, Laurie Halse","SPEAK","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2903","Slater, Dashka","The 57 Bus","Nampa School District","Idaho","committee recommended further review, not immediate censorship 
my guess is this was due to middle/high schooL?",""
"2904","Rapp, Adam","33 Snowfish","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2905","Haris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Nampa School District","Idaho","committee recommended further review, not immediate censorship",""
"2906","","Global Citizenship: Engage in the Politics of a Changing World","Penncrest School District","Pennsylvania","was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",""
"2907","","Nevertheless We PErsisted: 48 Voices of Defiance, Strength, and Courage","Penncrest School District","Pennsylvania","was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",""
"2908","Oh, Ellen","Finding Junie Kim","Penncrest School District","Pennsylvania","was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",""
"2909","Williams, Alicia D.","Genesis Begins Again","Penncrest School District","Pennsylvania","was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",""
"2910","Gansworth, Eric","Apple Skin to the Core","Penncrest School District","Pennsylvania","was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",""
"2911","Lee, Stacey","Downstairs Girl","Penncrest School District","Pennsylvania","was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",""
"2912","Maldonando, Crystal","Fat Chance, Charlie Vega","Penncrest School District","Pennsylvania","was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",""
"2913","Knowles, Jo","Read Between the Lines","Penncrest School District","Pennsylvania","was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",""
"2914","Reichardt, Marisa","A Shot at Normal","Penncrest School District","Pennsylvania","was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",""
"2915","Burgess, Rebecca","How to Be Ace: A Memoir of Growing Up Asexual","Canaan Schools","Vermont","",""
"2916","G, Mady and Jules Zuckerberg","A Quick & Easy Guide to Queer & Trans Identities","Canaan Schools","Vermont","",""
"2917","Newman, Leslea","Heather Has Two Mommies","Canaan Schools","Vermont","",""
"2918","Kobabe, Maia","Gender Queer","Regional School Unit 40","Maine","2nd challenge - retained after 1st in October 2021",""
"2919","Evison, Jonathan","Lawn Boy","Regional School Unit 40","Maine","2nd challenge - retained after 1st in October 2021",""
"2920","Morrison, Toni","The Bluest Eye","Union Academy","North Carolina","",""
"2921","","The Kite Runner","Union Academy","North Carolina","",""
"2922","Gino, Alex","Melissa (George)","Union Academy","North Carolina","",""
"2923","Alexie, Sherman","The Absolutely True Diary of a Part-time Indian","Union Academy","North Carolina","",""
"2924","","The Glass Castle","Union Academy","North Carolina","",""
"2925","Rowell, Rainbow","Eleanor & Park","Union Academy","North Carolina","",""
"2926","Hutchinson, Shaun David","Brave Face","Union Academy","North Carolina","",""
"2927","Johnson, George M","All Boys Aren't Blue","Union Academy","North Carolina","",""
"2928","Jackson, Tiffany D","Monday's Aren't Coming","Union Academy","North Carolina","",""
"2929","Green, John","Looking for Alaska","Union Academy","North Carolina","",""
"2930","Cabot, Meg","Ready or Not? A Girl's Guide to Making Her Own Decisions About Dating, Love and Sex","Union Academy","North Carolina","",""
"2931","Anderson, Laurie Halse","SPEAK","Union Academy","North Carolina","",""
"2932","McCormick, Patricia","Sold","Union Academy","North Carolina","",""
"2933","Gyasi, Yaa","Homegoing","Union Academy","North Carolina","",""
"2934","","Graceling","Union Academy","North Carolina","",""
"2935","","The Poet X","Union Academy","North Carolina","",""
"2936","Preston, Natasha","The Cellar","Union Academy","North Carolina","",""
"2937","","The Art of Dancing in the Rain","Union Academy","North Carolina","",""
"2938","Tamaki, Mariko","This One Summer","Union Academy","North Carolina","",""
"2939","Lockart, E","Fly On the Wall: How One Girl Saw Everything","Union Academy","North Carolina","",""
"2940","","City of Heavenly Fire","Union Academy","North Carolina","",""
"2941","","City of Lost Souls","Union Academy","North Carolina","",""
"2942","","Thirteen Reasons Why","Union Academy","North Carolina","",""
"2943","","Juliet Takes a Breath","Union Academy","North Carolina","",""
"2944","","I Am Not Your Perfect Mexican Daughter","Union Academy","North Carolina","",""
"2945","Kobabe, Maia","Gender Queer","Regional School Unit No. 56","Maine","",""
"2946","Reynolds, Jason and Brenden Kieley","All American Boys","Warwick School District","Pennsylvania","",""
"2947","Pitman, Gayle E","This Day in June","Catawba County Schools","North Carolina","",""
"2948","Johnson, George M","All Boys Aren't Blue","Catawba County Schools","North Carolina","",""
"2949","Morrison, Toni","The Bluest Eye","Catawba County Schools","North Carolina","",""
"2950","Atwood, Margaret","The Handmaid's Tale","Catawba County Schools","North Carolina","",""
"2951","Hosseini, Khaled","The Kite Runner","Catawba County Schools","North Carolina","Has been appealed to DISTRICT",""
"2952","Backderf, John","My Friend Dahmer","Catawba County Schools","North Carolina","",""
"2953","Goffried, BT","Forever for a Year","Catawba County Schools","North Carolina","",""
"2954","Kuklin, Susan","Beyond Magenta","Catawba County Schools","North Carolina","",""
"2955","Andrews, Jesse","Me, Earl and the Dying Girl","Catawba County Schools","North Carolina","",""
"2956","Maas, Sarah J","A Court of Mist and Fury","Catawba County Schools","North Carolina","",""
"2957","Maas, Sarah J","A Court of Thorn and Roses","Catawba County Schools","North Carolina","",""
"2958","Jackson, Tiffany D","Monday's Not Coming","Catawba County Schools","North Carolina","",""
"2959","Nabokov, Vladimir","Lolita","Catawba County Schools","North Carolina","",""
"2960","Foer, Jonathan Safran","Extremely Loud and INcredibly Close","Catawba County Schools","North Carolina","",""
"2961","Perez, Ashley Hope","Out of Darkness","Catawba County Schools","North Carolina","",""
"2962","Green, John","Looking for Alaska","Catawba County Schools","North Carolina","",""
"2963","Picoult, Jodi","Nineteen Minutes","Catawba County Schools","North Carolina","",""
"2964","Sanchez, Erika L.","I Am Not Your Perfect Mexican Daughter","Catawba County Schools","North Carolina","",""
"2965","Foley, Jessie Ann","The Carnival at Bray","Catawba County Schools","North Carolina","",""
"2966","Mathieu, Jennifer","The Truth About Alice","Catawba County Schools","North Carolina","",""
"2967","Rowell, Rainbow","Eleanor & Park","Catawba County Schools","North Carolina","",""
"2968","Myracle, Lauren","l8r, g8r","Catawba County Schools","North Carolina","",""
"2969","Chbosky, Stephen","The Perks of Being a Wallflower","Catawba County Schools","North Carolina","Reviewed at MS level - determined appropriate for older grades. Now moved to determination at HS level.",""
"2970","Lockhart, E","Real Live Boyfriends","Catawba County Schools","North Carolina","",""
"2971","Konigsberg, Bill","The Music of What Happens","Catawba County Schools","North Carolina","",""
"2972","Clare, Cassandra","City of Heavenly Fire","Gladwin Community Schools","Michigan","",""
"2973","Rapp, Adam","33 Snowfish","Gladwin Community Schools","Michigan","",""
"2974","Morrison, Toni","Beloved","Gladwin Community Schools","Michigan","",""
"2975","Thompson, Craig","Blankets","Gladwin Community Schools","Michigan","",""
"2976","Hopkins, Ellen","Crank","Gladwin Community Schools","Michigan","",""
"2977","Foer, Jonathan Safran","Extremely Loud and INcredibly Close","Gladwin Community Schools","Michigan","",""
"2978","McMann, LIsa","Fade","Gladwin Community Schools","Michigan","",""
"2979","Hopkins, Ellen","Fallout","Gladwin Community Schools","Michigan","",""
"2980","Anonymous","Go Ask Alice","Gladwin Community Schools","Michigan","",""
"2981","Cashore, Kristin","Graceling","Gladwin Community Schools","Michigan","",""
"2982","Myracle, Lauren","l8r, g8r","Gladwin Community Schools","Michigan","",""
"2983","Hopkins, Ellen","Identical","Gladwin Community Schools","Michigan","",""
"2984","Hopkins, Ellen","Impulse","Gladwin Community Schools","Michigan","",""
"2985","Scott, Elizabeth","Living Dead Girl: A Novel","Gladwin Community Schools","Michigan","",""
"2986","Green, John","Looking for Alaska","Gladwin Community Schools","Michigan","",""
"2987","Picoult, Jodi","Nineteen Minutes","Gladwin Community Schools","Michigan","",""
"2988","Rennison, Louise","On the Bright Side, I'm Now the GIrlfriend of a Sex God","Gladwin Community Schools","Michigan","",""
"2989","Myracle, Lauren","SHine","Gladwin Community Schools","Michigan","",""
"2990","Vonnegut, Kurt","Slaughterhouse-Five","Gladwin Community Schools","Michigan","",""
"2991","McCormick, Patricia","Sold","Gladwin Community Schools","Michigan","",""
"2992","Anderson, Laurie Halse","Speak","Gladwin Community Schools","Michigan","",""
"2993","Alexie, Sherman","The Absolutely True Diary of a Part-time Indian","Gladwin Community Schools","Michigan","",""
"2994","Stein, Garth","The Art of Racing in the Rain","Gladwin Community Schools","Michigan","",""
"2995","Morrison, Toni","The Bluest Eye","Gladwin Community Schools","Michigan","",""
"2996","Wells, Jeanette","The Glass Castle","Gladwin Community Schools","Michigan","",""
"2997","Atwood, Margaret","The Handmaid's Tale","Gladwin Community Schools","Michigan","",""
"2998","Cisneros, Sandra","The House on Mango Street","Gladwin Community Schools","Michigan","",""
"2999","Hosseini, Khaled","The Kite Runner","Gladwin Community Schools","Michigan","",""
"3000","Levithan, David","The Realm of Possibility","Gladwin Community Schools","Michigan","",""
"3001","Asher, Jay","Thirteen Reasons Why","Gladwin Community Schools","Michigan","",""
"3002","Mead, Richelle","Vampire Academy","Gladwin Community Schools","Michigan","",""
"3003","Gruen, Sara","Water for Elephants","Gladwin Community Schools","Michigan","",""
"3004","Koertge, Ron","Boy Girl Boy","Gladwin Community Schools","Michigan","",""
"3005","Lund, Cameron","The Best Laid Plans","Gladwin Community Schools","Michigan","",""
"3006","Kobabe, Maia","Gender Queer","Harlem School District 122","Illinois","",""
"3007","Evison, Jonathan","Lawn Boy","Harlem School District 122","Illinois","",""
"3008","Jackson, Tiffany D","MOnday's Not Coming","Harlem School District 122","Illinois","",""
"3009","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","Harlem School District 122","Illinois","",""
"3010","Morrison, Toni","The Blues Eye","Harlem School District 122","Illinois","",""
