"","Book"
"401","darius the great deserves better"
"402","darius the great deserves better (darius the great series)"
"403","dark descent of elizabeth frankenstein"
"404","dark money"
"405","darkness before dawn"
"406","date violence (life balance)"
"407","dateable : are you? are they?"
"408","dating, relationships, and
 sexuality : what teens
 should know"
"409","dating, relationships, and sexuality: what teens should know"
"410","daughters unto devils"
"411","de done eres?"
"412","dead end"
"413","dead until dark"
"414","dear diary, i'm pregnant : ten real life stories"
"415","dear evan hansen: the novel"
"416","dear justyce"
"417","dear martin"
"418","death wind"
"419","delicates"
"420","deogratias"
"421","deogratias: a tale of rwanda"
"422","deposing nathan"
"423","desmond cole, ghost patrol (series)"
"424","destined (house of night series)"
"425","detour for emmy"
"426","did i mention i love you?"
"427","did i mention i need you"
"428","did i mention i need you? (dimily series)"
"429","dig"
"430","dime"
"431","discovering wes moore"
"432","dishes"
"433","do abstinence programs work"
"434","do abstinence programs work?"
"435","doin' it : juicy central #8"
"436","doing it right : making
 smart, safe, and satisfying
 choices about sex"
"437","doing it right: making smart, safe, and satisfying choices about sex"
"438","doing it!"
"439","doing it! let's talk about sex"
"440","doing it!: let's talk about sex"
"441","don't touch my hair"
"442","don't touch my hair!"
"443","donald trump"
"444","donovan's big day"
"445","double challenge: being lgbtq and a minoirty"
"446","double exposure"
"447","downstairs girl"
"448","drag teen : a tale of angst and wigs"
"449","dragonwings"
"450","drama"
"451","drama: a graphic novel"
"452","draw me a star"
"453","draw the line"
"454","drawn together"
"455","dreadnought"
"456","dreadnought (h.i.v.e. series)"
"457","dreadnought (nemesis series)"
"458","dream drum girl"
"459","dreamers"
"460","dreaming in cuban"
"461","dreaming in cuban(a novel)"
"462","dreamkeepers "
"463","dress codes for small towns"
"464","dress dcodes for small tones"
"465","drum dream girl: how one girl's courage changed music"
"466","duels and deception"
"467","duke ellington"
"468","duke ellington: the piano prince and his orchestra"
"469","each kindness"
"470","each of us a desert"
"471","early sunday morning"
"472","echo after echo"
"473","eclipse"
"474","eclipse (twilight series)"
"475","eight seconds"
"476","el color de la pels"
"477","el color de la piel"
"478","el día en que descubres quién eres"
"479","el dia en qui descubres quien eres"
"480","eleanor & park"
"481","eleanor and park"
"482","elizabeth blackwell, the first woman doctor"
"483","elizabeth blackwell: first woman doctor"
"484","embrace"
"485","empire of storms"
"486","empire of the storms"
"487","empress of the world"
"488","empress of the world (battle hall davies series)"
"489","empty"
"490","en comunidad"
"491","en comunidad: lessons for centering the voices and experiences of bilingual latinx students"
"492","en el bosque"
"493","encounter"
"494","enough! 20 protesters who changed america"
"495","equal rights"
"496","escape from the roller ghoster (desmond cole ghost patrol series)"
"497","escaping a sinking ship"
"498","escuchando con mi corazon"
"499","escuchando con mi corazón: un cuento de bondad y autocompasión (listening to my heart)"
"500","esperanza rising"
"501","esta bien ser diferente/it's okay to be different (spanish version)"
"502","etched in clay"
"503","even weirder! (weirdo series)"
"504","everbody sees the ants"
"505","every day (every day series)"
"506","every day is exciting (sofía martínez series)"
"507","everybody sees the ants"
"508","everyday"
"509","everyday anti-racism
"
"510","everyday antiracism: getting real about race in school"
"511","everything changes"
"512","everything leads to you"
"513","everything you love will
 burn : inside the rebirth of
 white nationalism in
 america"
"514","everything you love will burn: inside the rebirth of white nationalism in america"
"515","everything you need to know about bisexuality"
"516","everything, everything"
"517","everywhere babies"
"518","exist, pursued by a bear"
"519","exit here"
"520","exit, pursued by a bear"
"521","expecting"
"522","exquisite: the poetry and life of gwendolyn brooks"
